,SNN_USA
Cash Ratio,0.13
Current Ratio,2.03
Enterprise Value to EBITDA,11.22
Enterprise Value to Sales,3.28
Gross Margin,73.81
Long-Term Debt to Equity,30.64
Long-Term Debt to Total Capital,23.35
Net Margin,16.10
Operating Margin,19.60
P/E Current,18.65
P/E Ratio (without extraordinary items),18.89
Pretax Margin,18.32
Quick Ratio,1.06
Receivables Turnover,4.04
Return on Assets,10.13
Return on Equity,17.95
Return on Invested Capital,13.30
Return on Total Capital,13.17
Total Asset Turnover,0.63
Total Debt to Total Assets,18.43
Total Debt to Total Capital,23.79
Total Debt to Total Equity,31.22
